Category,Weekly,Monthly Avg (52-week year),Monthly Simple (4-week),Annual 52-week,Annual 48-week,Transparency Group
Power / Electricity,-,50000,50000,600000,600000,Facility / Building
Staff Stipends 10 staff @5000/week each,50000,216667,200000,2600000,2400000,Teacher Compensation
Garbage Collection,500,2167,2000,26000,24000,Administration
Water Filter,-,500,500,6000,6000,Facility
Stationary & Supplies,-,10000,10000,120000,120000,Educational Materials
Cleaning & Repairs,-,3000,3000,36000,36000,Facility
Teachers Meetings,-,5000,5000,60000,60000,Administration
School Events rentals & food,-,3333,3333,40000,40000,Program Costs
TOTAL,-,290667,273833,3488000,3286000,
